label,pixels_28668,pixels_32764
46.0_-27.2,167869871,153694822
331.2_-30.2,212721120,203504677
18.1_-28.2,251313312,245964710
352.9_-32.1,239918881,227842164
348.3_-31.2,236409600,226353367
168.5_-2.5,250242191,239546516
357.6_-34.1,223994906,212310311
221.6_-3.5,226786779,210147703
48.9_-26.2,0,0
32.4_-34.1,248404280,240365448
236.0_1.5,236925035,226548133
4.6_-30.2,231504223,221051814
217.6_-2.5,240443078,218595918
24.2_-30.2,228155696,213619842
195.0_-0.5,248210823,234396879
232.0_-1.5,237779901,224388304
51.1_-35.1,233444975,223814075
345.3_-28.2,227335009,204362638
347.1_-32.1,229876827,216587380
15.4_-33.1,204695753,197887228
204.0_0.5,248202147,238153142
196.0_1.5,250514900,249812211
198.6_2.5,239462554,231082336
8.4_-34.1,248354203,244028778
177.0_-1.5,229133685,216833468
141.0_-0.5,212422837,194040863
206.6_-2.5,234418585,223263197
25.1_-29.2,241597651,232477888
206.0_-1.5,238124280,219509286
5.6_-28.2,242927548,237086720
237.7_2.5,604661,597021
9.0_-28.2,239570573,230722347
349.5_-31.2,243202788,235973064
17.3_-30.2,122858941,117244737
189.0_0.5,242115926,232594788
343.2_-34.1,230612450,213527932
329.7_-27.2,40250010,38445207
135.0_0.5,212487602,193959798
196.5_2.5,225731276,220549110
165.0_1.5,247304726,237149947
175.0_-1.5,225959981,207164775
134.0_0.5,196825287,182995368
161.4_-2.5,232419809,213423142
229.0_-1.5,223948089,206426872
3.6_-33.1,234404237,224917168
221.6_-2.5,226929872,210188663
235.0_0.5,233282467,212752497
129.0_-1.5,200243849,178260315
218.6_-2.5,223463829,212619806
214.0_-0.5,235075820,219629556
141.0_1.5,214422059,204788654
160.0_-0.5,230232447,219102551
215.6_-2.5,228371047,205408124
358.8_-31.2,229454867,209041653
160.0_0.5,231592830,221877445
348.1_-33.1,238456018,226746274
21.0_-31.2,227164182,221788507
334.8_-34.1,226738027,214553175
6.8_-28.2,232281699,220361301
0.0_-32.1,228343820,210189317
356.6_-29.2,238715209,230053833
355.5_-28.2,246234120,229302555
343.4_-33.1,227144858,202551007
225.0_-0.5,210042021,194993685
225.6_2.5,72218926,68834552
166.0_1.5,240622586,227623374
