label,dseeing_ori,dseeing_corr,dbeta_ori,dbeta_corr
224.6_-2.5,0.05076886832862158,0.01061209629058506,0.1358982082211779,0.03330480639130992
139.0_0.5,0.0250128833072928,0.0018922919544967025,0.043950184727634456,0.006174377063159143
354.1_-33.1,0.03958635406122618,0.00310963988363927,0.09480759662413966,0.018015227044432425
18.0_-34.1,0.03327485678924018,0.0020495177104442775,0.06601540454178179,0.010593160123593614
220.0_1.5,0.02698407047825444,0.001373495154607175,0.04289453000473921,0.0038868670165996956
11.5_-30.2,0.019519382674393536,-0.00034138452056207757,0.02463639945793115,0.0025386791518010217
215.6_2.5,0.04052965597451593,0.0024257530796746272,0.07251353594397161,0.010535327094839115
9.1_-29.2,0.02821926347368872,0.0014427201540615354,0.04921580573243402,0.007470366938273757
330.1_-30.2,0.02200998907599927,-0.0005509378351708329,0.026013016173057877,0.0015962463285826194
8.0_-29.2,0.036973189148105635,0.004005833423743872,0.08673260178185678,0.01590565301073382
50.8_-28.2,0.0637851356651696,0.013128700633494817,0.22791564326247146,0.07343101549928001
236.0_0.5,0.04350304286748316,0.005672116842075887,0.10603246719955989,0.025156575329236326
341.6_-30.2,0.025952786823813224,0.0030406898475990158,0.045110825198468284,0.005776238341983132
16.6_-33.1,0.028047618752414964,0.002217276572706022,0.042941624510381145,0.006041820705941801
343.9_-30.2,0.024973400410448134,0.002026234729617324,0.05260365117926215,0.006462121264554721
134.0_-1.5,0.03364618548766468,0.002150041331530987,0.07030349926583788,0.013303933009112652
48.9_-31.2,0.03773180786757581,0.004548523313670739,0.08521467031303558,0.02026282772051596
207.0_0.5,0.05244297518526726,0.007246037600624021,0.10440316076548348,0.030512109274842186
187.0_-1.5,0.03008917590426226,0.00027080502282306396,0.06436650293060872,0.009025509544615569
348.6_-29.2,0.03932805338661745,0.0032819937315902233,0.0853787159939723,0.01702892058234816
346.9_-33.1,0.037768767070544246,0.00468048754075875,0.08684636726764446,0.017627791449402644
234.0_-0.5,0.04949764046276532,0.009516777968945655,0.14043772154910947,0.035860181138028045
40.4_-33.1,0.027486451178017113,0.0010729177287107387,0.053575354643371424,0.007469525380496943
20.3_-28.2,0.03829185152074558,0.0030955175708897694,0.07317212538078853,0.0144690744292188
174.5_-2.5,0.026584901176872674,0.0005294468322819756,0.04679061797133144,0.004013116756156894
51.3_-29.2,0.06258445332686359,0.01299717883827639,0.19438229690434727,0.06177190942248367
51.3_-31.2,0.021649521064877778,0.0015708599572443259,0.035189307036293006,0.0014434664487923033
224.0_0.5,0.037691535445762314,0.003920509144272981,0.10124574874726187,0.01878573410759649
184.0_-1.5,0.05057430247033051,0.009240231553465204,0.20819691850460162,0.051086313456932445
335.0_-33.1,0.03653432114468533,0.004325627549793951,0.06730729388880047,0.011756316988444857
180.0_0.5,0.03378249333151911,0.0016593085104831802,0.08096388527535148,0.014715700647683518
7.2_-34.1,0.02874996646883515,0.0038608543768470296,0.062399773606263385,0.009535263968807953
133.0_0.5,0.08388653435920297,0.024979657491855142,0.3706549848966043,0.14221248741383688
184.0_0.5,0.07161751451665717,0.018976654154435366,0.27250835567732956,0.08777059334637544
182.0_1.5,0.04324658336743931,0.006208243129542029,0.09599749777299241,0.02087976026831876
198.0_0.5,0.025610334677164615,0.0014783268024077814,0.03189838716951906,0.0031265406546191876
19.2_-28.2,0.02570399230946603,0.000747690793420609,0.0436762632633374,0.004489129628255711
49.5_-30.2,0.03251055493577318,0.002142597437662027,0.06384234360061845,0.008171599658500383
190.0_0.5,0.05868428129100201,0.012807962435058558,0.19380309120953934,0.057962043347677496
183.0_0.5,0.06116573619312409,0.012849589688546926,0.20849565206903609,0.05842440699459512
12.8_-31.2,0.02109817323394641,0.0020567154580219842,0.03226660600869348,0.0018339559068661776
231.0_-0.5,0.039724488255839296,0.0031359432145780584,0.09766723223730615,0.01762325945666284
180.0_1.5,0.027460068137105612,0.0008419316568696912,0.05053813843758125,0.007456132760330451
180.0_-0.5,0.06329161697985998,0.0161148558169308,0.22846140443056515,0.07481931014361978
333.2_-35.1,0.038549704358516776,0.002530639467469921,0.08909317194024542,0.017947355973340653
206.0_0.5,0.05241467863036234,0.011544205673843563,0.1632599314292535,0.044765295610285555
29.9_-30.2,0.01236643090402281,0.0011179150050892133,0.02129766989508032,-0.001391609112462594
230.0_-0.5,0.07112935609770331,0.018696450554459246,0.27922923557409723,0.10471405028342251
12.5_-29.2,0.026702360030816698,0.0005776180452997123,0.05247008412673328,0.0051516628360286105
349.5_-31.2,0.036324642453361276,0.004122464298030813,0.06843304539427406,0.012595567552636416
213.0_-1.5,0.05040113241967449,0.006774248325566753,0.16395078150981046,0.04128617924296852
187.0_1.5,0.029063819426322794,0.0017676968951205734,0.05620305518479137,0.006469317429021175
20.4_-34.1,0.027409047772967866,0.004117658780633563,0.04057538988283939,0.004801530807820701
176.5_2.5,0.04807732364032644,0.005096234658231182,0.15420108310580738,0.041156870560896015
352.9_-33.1,0.03165152346225648,0.00038935608461247197,0.08880239990526355,0.011654424055437361
218.0_0.5,0.05531905345243604,0.013246533049016818,0.19859895425966895,0.060872253818026405
355.4_-29.2,0.03460470044095085,0.0006832348527229222,0.06396698478204788,0.008502717298177899
233.0_-0.5,0.03904342381214096,0.005623898484849848,0.08913113163900846,0.0174557712874774
51.8_-32.1,0.027182997319986118,0.0012440327411985693,0.04729679307999491,0.004867627399433263
129.0_0.5,0.020361252734512135,0.0001782829002030858,0.029955480072688858,0.0028394955161459043
345.4_-35.1,0.014835284195075989,-0.0002365269563359329,0.01570939366994653,0.004227261704425831
35.3_-32.1,0.04892715922618031,0.007226691122387351,0.11175479994193939,0.02504948625495985
339.5_-29.2,0.026384883765685402,0.0012283915165264244,0.041096215693171075,0.0037463633363954423
186.0_1.5,0.06536582953637687,0.014460977613136982,0.2459834991631596,0.08422924573991619
20.2_-33.1,0.02423626563946443,-0.00020851397006934827,0.03751121079386733,0.002818111110746672
178.0_-0.5,0.0742231024248871,0.02089287748180776,0.32847665730027914,0.12188345842922022
30.6_-32.1,0.05054207971313186,0.007186374836082125,0.14850794036466436,0.04018794660052528
3.6_-33.1,0.03230593131522124,0.0033240803023607273,0.06048321859724446,0.007084127881505899
179.0_-1.5,0.03759024027582449,0.004507652904711221,0.08509670299479136,0.01557153677503209
357.7_-31.2,0.03440680782356352,0.0046824742654151185,0.09256550374570775,0.014212902795504386
19.2_-34.1,0.044027104871077034,0.008690802860056114,0.1136331528137509,0.028113962797268723
179.5_2.5,0.04592807725154414,0.0059461171119590825,0.11443780366680885,0.0261224372469208
30.0_-34.1,0.018480966536148762,0.0024599176243440355,0.02872509923467278,0.0022471703152485223
139.0_1.5,0.02139097845063014,0.001592065527413803,0.03532097351387207,0.005105769223072981
137.4_2.5,0.0363857261851147,0.0038136033621539297,0.0831044539021912,0.015314405634908553
355.1_-35.1,0.03768567793302448,0.002310029821671344,0.07169779713543858,0.015997989781388826
12.9_-32.1,0.054413198514510125,0.009908745330456091,0.1557364271740736,0.037407436344853356
16.1_-30.2,0.03773137607653456,0.0019475355221712726,0.08307379444842598,0.014789990037413167
333.2_-31.2,0.04960286222137051,0.0072275913863460274,0.12197965603948656,0.027307443556095462
344.6_-33.1,0.04778273792358315,0.009331995247488326,0.10799437768012207,0.02412142537834332
174.5_2.5,0.06755573392989278,0.016195664256289658,0.23787775519603216,0.0806978239845592
204.0_-0.5,0.09960720519719708,0.04084956827826284,0.6622171118673531,0.27856325591975645
130.0_-1.5,0.03872604245992448,0.004921348770400287,0.1020175910126286,0.019829671657513516
234.0_0.5,0.06381539768600057,0.016290998476660105,0.2496677774824689,0.07764679124159224
