label,dmag_u,dmag_g,dmag_r,dmag_i
338.4_-34.1,0.0591409634420261,0.06099637244766132,-0.01470346748828888,0.07695766582910915
49.9_-35.1,-0.1284512231493616,-0.2021778261834358,0.08620942384004593,-0.03515193738418396
137.0_-1.5,0.04440394144018277,0.02790922721613424,0.006123688071966171,0.07555158306307294
221.0_-1.5,0.1094190690155371,0.03831701351611582,0.007849261164665222,0.04746174183545122
53.3_-26.2,-0.06257886546141023,-0.03522433949136484,-0.0106588788330555,0.05791474169588491
163.0_0.5,-0.05128332967779713,0.04380715920825662,0.01412311941385269,0.03163504759097652
181.0_1.5,-0.0104559899134009,0.01382709111718009,-0.00186612829566001,0.0332279560776301
21.6_-34.1,-0.05437902008254308,0.003798587276709441,-0.00742706656455993,0.06493188801243105
162.0_-0.5,0.06146967467954378,0.03655532143135383,-0.05049216374754906,-0.0205596967173708
165.0_-0.5,-0.0827526367895771,0.01688182500982725,0.002707470208406448,0.0987089366721923
356.5_-32.1,-0.0210154759292472,0.03592424874511425,0.02477683126926422,0.04187342993828861
46.0_-27.2,-0.1174127527643727,0.06406444969259065,0.03377340361475945,0.06973169837052409
352.9_-32.1,0.00903047301568416,-0.00996027431612811,0.05526448786258698,0.07761976986480704
139.0_-1.5,0.02434125425365664,0.01321125461007273,0.03330038115382195,0.05876429072024666
332.4_-30.2,-0.01477677159611282,-0.5098542848646727,0.1049148589372635,0.06697412731424424
200.0_-0.5,-0.0470387903555555,0.04720229512183301,-0.06053399294614792,0.02024848508774324
38.8_-32.1,-0.09620435964341162,0.01218996888824859,0.02127541974186897,0.08492736795532983
357.7_-30.2,-0.09853322480922733,-0.5912041348185196,0.0556122213602066,0.03853502958397007
34.2_-29.2,-0.1372499040724451,0.03321437844861703,0.03032157197594643,0.07493231746247693
8.2_-32.1,-0.00763073627037161,-0.2889940490079398,0.05783913284540176,0.04178046605300915
238.0_0.5,0.0645380460534864,0.06413710733830841,0.01829590648412704,0.03757945311362584
188.0_0.5,-0.06268870572271679,-0.02628913410851021,0.02827794663608074,0.01580169616208809
11.4_-29.2,-0.1490564322045874,0.01218760851375464,0.03942794352769852,0.02724962220821044
168.0_-0.5,-0.01244994520536778,0.002541577129965845,-0.00020082667469978,0.05085705215842699
212.0_0.5,0.03908770005002389,0.05092141679270776,0.007496103644371033,0.005051509048626713
341.2_-32.1,-0.00183606808688233,0.03820423881985675,0.03358551114797592,0.05743860391108478
3.6_-35.1,-0.1818452064029471,-0.1224869668820961,0.1200733482837677,0.01521051766640426
183.5_-2.5,-0.09500058964884345,0.03998606731058681,-0.05728137493133545,0.05538468571081478
218.6_-2.5,0.03828731605318281,0.07194816956594274,0.0196039080619812,-0.00366902163803343
158.0_-0.5,0.0676374607108204,0.02321040312083824,0.00299970805644989,0.03574347031827915
5.8_-31.2,-0.00789868478090491,0.04914027080993674,0.04637493565678596,0.03360001139613178
25.3_-30.2,0.005353256575527321,0.02731709719188984,0.02942939475178719,0.01652407334095278
355.2_-33.1,-0.02222041269879099,0.03352316574337146,0.0274159237742424,0.07864636164259582
11.9_-33.1,-0.1875133122045943,0.05575252675268257,0.03246700763702393,0.04039146785057119
189.0_0.5,-0.0560107375963822,-0.04219957088058368,0.000390604138374328,0.05017588102542572
42.4_-32.1,0.03433859898288003,-0.03505861772885601,0.02674532681703568,-0.00281391491835984
212.6_-2.5,0.0312727739743159,0.05659415937507004,0.04164553433656693,0.1044640974283453
