label,rmsAW_i1,rmsAW_i2,rmsTHELI_i1,rmsExpo_i1,rmsTHELI_i2,rmsExpo_i2,MeasSeeing_i1,MeasBeta_i1,seeing_e1_i1,MeasSeeing_i2,MeasBeta_i2,seeing_e1_i2,InputSeeing_i1,InputBeta_i1,InputSeeing_i2,InputBeta_i2
12.7_-30.2,6.957114278348674,8.663388924023705,7.965200137281394,17.810728961351852,9.918713979114736,22.17891870667798,0.8720000000000001,2.4805,0.0787213740458016,0.531,3.299,0.0437615598027127,0.8540000000000001,2.4080010438413364,0.4940000000000001,2.6677822791916164
181.0_-0.5,6.395736432968721,8.969678456726799,7.322478642105886,16.373560007539115,10.269384865106508,22.96304264548566,0.726,2.603,0.0387368611815875,0.906,2.5225,0.0314936392496656,0.7039999999999998,2.4685012056493285,0.889,2.44506511627907
181.0_0.5,13.724258188398336,11.127103955525923,15.71290319989725,35.13511967884422,12.739421318681629,28.48621206258213,0.7450000000000001,2.2510000000000003,0.0763888888888888,0.8420000000000001,2.2755,0.0671401684447432,0.7220000000000002,2.1454277375201296,0.8240000000000002,2.2185056355666872
179.0_-0.5,9.616356180928346,6.978608227468954,11.00976619154486,24.61858562067328,7.989808559629202,17.86575506654058,1.0970000000000002,2.0935,0.0648535564853557,0.92,2.194,0.04823331463825,1.0830000000000004,2.065755405719601,0.904,2.1317454858125537
180.0_-1.5,10.174150335345791,9.26104346186626,11.648384718937391,26.04658005961379,10.602968659490678,23.708958685920976,0.7200000000000001,2.573,0.073389915127309,1.098,2.1425,0.0542811042127047,0.6980000000000002,2.4279360344827583,1.0840000000000003,2.1104861897215303
180.0_1.5,10.192152883680087,5.587342758462786,11.668995836525328,26.092667919632657,6.396948724164042,14.30401219581135,0.914,2.663,0.0537504289734102,0.526,3.297,0.0643454811378868,0.899,2.592447546230441,0.4880000000000001,2.646865999265246
181.0_1.5,10.245822180052942,8.930610183250163,11.730441813942608,26.230065302081613,10.224655598803109,22.86302496544757,0.6980000000000001,2.853,0.063096518268932,0.634,2.811,0.0527306967984934,0.676,2.6560481873111788,0.608,2.549350752750434
181.0_-1.5,7.844120220872777,5.76305608557065,8.980733240877239,20.0815300143935,6.598122912369835,14.75385135595784,0.662,2.591,0.052347329351041,0.8960000000000001,2.305,0.032983508245877,0.636,2.398207128777924,0.8800000000000003,2.248420998349836
179.0_1.5,8.099861574549914,5.503278640701302,9.273531516702194,20.736246862832832,6.300703715738918,14.088801814477732,0.742,2.376,0.0364187304700995,0.779,2.2145,0.0552547525891529,0.721,2.259635535307517,0.758,2.131693336118655
179.0_-1.5,7.504435709733529,7.121804209923317,8.591828444073913,19.21191245196552,8.153753639941202,18.232347410694874,0.602,3.304,0.0659144893111638,0.8720000000000001,2.276,0.0388127853881278,0.574,2.9204657215895886,0.8540000000000001,2.209612743069921
182.0_0.5,5.737761194621524,9.773004182532032,6.569162791722181,14.689094557553087,11.18911248858092,25.019616132358777,0.923,2.2475,0.049380071427594,1.061,2.491,0.0583524597101421,0.906,2.171945943141731,1.0459999999999998,2.4346684553468765
182.0_-0.5,7.355684552690388,10.446697500911796,8.421523244375221,18.83109844851757,11.960423968793911,26.74432103394101,0.884,2.298,0.0642312536330169,0.956,2.6715,0.0709203522046269,0.866,2.239174236168456,0.942,2.6099710765934656
178.0_-0.5,7.610702692723858,8.267563133131144,8.713493512899541,19.48396381634681,9.465533031121844,21.16557530085808,0.6320000000000001,2.828,0.0514268064678997,0.718,2.349,0.0540037243947858,0.6060000000000002,2.5568385252929406,0.6959999999999998,2.2199340659340665
178.0_0.5,10.049957270718682,8.706761134428003,11.506196079245814,25.7286365956352,9.968370822806618,22.289954784721107,0.97,2.813,0.0688587873410658,0.754,2.515,0.0348152115693626,0.956,2.7436018925312604,0.734,2.387408002858164
182.0_1.5,9.510449724879466,9.87624158376211,10.888513890014496,24.34745723202309,11.307308989249234,25.283911542555728,0.738,2.627,0.0396290674041417,0.932,2.628,0.0672910488013673,0.718,2.489160817717205,0.916,2.5647033683448037
178.0_-1.5,7.557164516131014,9.526543375514324,8.652197654518394,19.34690211026737,10.906939510626346,24.3886581722388,0.8740000000000001,2.5305,0.0669662921348315,0.806,2.43,0.0473003123605534,0.8580000000000001,2.443000643737355,0.786,2.344043977055449
182.0_-1.5,12.868108050570743,6.998166029831912,14.73269690709844,32.94331177617302,8.012200287554554,17.91582449231535,0.778,2.641,0.055,0.71,2.3115,0.0477927956775506,0.758,2.5218229417843605,0.6859999999999999,2.1799079930994827
179.5_2.5,10.873748876057268,5.136854374791087,12.44935508819796,27.83760425324353,5.881184573698313,13.150728495012553,0.942,2.506,0.0702905342080599,0.97,2.3685,0.0460307211150139,0.9259999999999998,2.428156437125748,0.954,2.322369750456482
