binZB_id,binSNR_id,binR_id,binZB_min,binZB_max,binSNR_min,binSNR_max,binR_min,binR_max,m1_raw,m1_raw_err,m2_raw,m2_raw_err,c1,c1_err,c2,c2_err,WeiTot,WeiBlend,var_dm1,var_dm2,var_dm1_err,var_dm2_err,PSFmodelling_dm1,PSFmodelling_dm2,PSFmodelling_dm1_err,PSFmodelling_dm2_err,m1_final,m1_final_err,m2_final,m2_final_err
0,2,4,0.100000,0.200000,21.270000,24.590000,0.352560,0.386161,-0.113830,0.224937,0.077216,0.228171,0.003868,0.006366,0.004493,0.006457,21894.898623,7088.906610,0.693550,-0.846628,1.696835,1.745174,0.001524,0.003577,0.001789,0.001845,0.112245,0.593652,-0.193320,0.609368
0,2,5,0.100000,0.200000,21.270000,24.590000,0.386161,0.417966,-0.297995,0.213451,-0.044754,0.237576,-0.002266,0.006041,0.000367,0.006723,21843.578737,7961.983332,-0.277693,-0.808612,1.704356,1.818138,0.001524,0.003577,0.001789,0.001845,-0.397690,0.656887,-0.335916,0.704011
0,2,6,0.100000,0.200000,21.270000,24.590000,0.417966,0.450136,0.390720,0.230209,0.007866,0.244441,-0.003714,0.006515,-0.006007,0.006918,21916.056321,7627.725949,0.160911,-0.909545,1.754431,1.805763,0.001524,0.003577,0.001789,0.001845,0.448248,0.652574,-0.305118,0.674348
0,2,7,0.100000,0.200000,21.270000,24.590000,0.450136,0.479315,0.061995,0.224649,-0.579006,0.239836,0.008263,0.006358,0.008226,0.006787,21829.121108,7605.713546,0.098187,0.927999,1.830822,1.877323,0.001524,0.003577,0.001789,0.001845,0.097729,0.676300,-0.252095,0.696684
0,2,8,0.100000,0.200000,21.270000,24.590000,0.479315,0.507878,-0.000400,0.245746,-0.002122,0.235043,-0.012197,0.006955,-0.004364,0.006652,21880.998992,8113.811223,0.865163,1.216375,1.949040,1.850633,0.001524,0.003577,0.001789,0.001845,0.321940,0.763373,0.452506,0.725382
0,2,9,0.100000,0.200000,21.270000,24.590000,0.507878,0.537462,0.158885,0.246757,0.002808,0.234139,0.005627,0.006983,0.004230,0.006626,21873.156390,7632.593626,-0.181197,0.542188,1.913355,1.774893,0.001524,0.003577,0.001789,0.001845,0.097181,0.711803,0.195580,0.662128
0,2,10,0.100000,0.200000,21.270000,24.590000,0.537462,0.566437,0.045633,0.241159,0.017997,0.237455,0.000907,0.006825,0.001596,0.006720,21923.453711,7506.443765,-0.774357,-0.168382,1.766871,1.792340,0.001524,0.003577,0.001789,0.001845,-0.217978,0.651263,-0.036079,0.658026
0,2,11,0.100000,0.200000,21.270000,24.590000,0.566437,0.597051,0.008807,0.246039,0.094127,0.256932,0.001202,0.006963,-0.008043,0.007271,21923.256848,7617.875564,0.324317,-0.446903,1.844814,1.995160,0.001524,0.003577,0.001789,0.001845,0.123024,0.686632,-0.057585,0.739358
0,2,12,0.100000,0.200000,21.270000,24.590000,0.597051,0.625369,0.419256,0.242691,-0.071689,0.255780,0.008429,0.006868,-0.001608,0.007239,21846.622587,7210.049198,0.865296,-3.221275,1.908267,2.091676,0.001524,0.003577,0.001789,0.001845,0.706354,0.674932,-1.131231,0.736182
0,2,13,0.100000,0.200000,21.270000,24.590000,0.625369,0.657273,-0.076686,0.265753,0.555619,0.247707,-0.000866,0.007521,0.019409,0.007010,21945.411585,7119.139794,0.445241,0.379226,1.822054,1.775059,0.001524,0.003577,0.001789,0.001845,0.069275,0.648075,0.682218,0.626854
0,2,14,0.100000,0.200000,21.270000,24.590000,0.657273,0.689103,0.145682,0.270388,0.242224,0.263966,0.006922,0.007652,-0.002508,0.007470,21882.341464,7527.251181,-0.962572,-1.273471,1.874033,1.785277,0.001524,0.003577,0.001789,0.001845,-0.183907,0.699055,-0.192257,0.668443
